Date,Brand (Leaf),Spend_USD
2024-01,Business Spark Card,1129353.1676
2024-01,Business Venture X Card,4488174.4176
2024-01,Capital One 360,4441314.6986
2024-01,Capital One 360 CD,536978.1524
2024-01,Capital One 360 Cafe Banks,67298.0718
2024-01,Capital One 360 Checking,684187.3079
2024-01,Capital One Auto Navigator,443692.3509
2024-01,Capital One Business Cards,24834.1576
2024-01,Capital One Business Finance,216426.3256
2024-01,Capital One Cardholder Benefits,27156.7136
2024-01,Capital One Careers,334408.6084
2024-01,Capital One Commercial Banking,14336.041000000001
2024-01,Capital One Consumer Cards,2593845.6592
2024-01,Capital One Credit Cards,3348.8343
2024-01,Capital One Financial Corporation (General),5193491.128
2024-01,Capital One Mobile App,923921.4047
2024-01,Capital One Shopping,1238002.3935
2024-01,Capital One Small Business Banking,186.9488
2024-01,Capital One Teen Checking,11488.833
2024-01,Capital One Walmart Rewards Card,42308.6218
2024-01,Capitol One 360 Performance Savings,1574539.3434
2024-01,Guaranteed (Secured Mastercard),5163.8126
2024-01,Platinum Card,29888.6305
2024-01,Quick Check,13506.27
2024-01,QuickSilver Card,1866460.3735
2024-01,Savor Card,1120.4393
2024-01,Venture Card,5684.5808
2024-01,Venture X Card,3247960.8984
2024-02,Business Spark Card,1387274.8283
2024-02,Business Venture X Card,3168814.284
2024-02,Capital One 360,4282842.728
2024-02,Capital One 360 CD,651540.6232
2024-02,Capital One 360 Cafe Banks,225295.61980000001
2024-02,Capital One 360 Checking,606368.4534
2024-02,Capital One Auto Navigator,549294.1675
2024-02,Capital One Business Cards,26263.5516
2024-02,Capital One Business Finance,196268.4987
2024-02,Capital One Cardholder Benefits,330179.3295
2024-02,Capital One Careers,145229.875
2024-02,Capital One Commercial Banking,23698.9603
2024-02,Capital One Consumer Cards,2397717.2521
2024-02,Capital One Credit Cards,1171.8026
2024-02,Capital One Financial Corporation (General),3158074.4045
2024-02,Capital One Mobile App,528891.6639
2024-02,Capital One Shopping,2349589.1727
2024-02,Capital One Shopping (formerly Wikibuy),2310.8633
2024-02,Capital One Teen Checking,12867.783
2024-02,Capital One Walmart Rewards Card,37461.884
2024-02,Capitol One 360 Performance Savings,1060572.8063
2024-02,Guaranteed (Secured Mastercard),7817.409500000001
2024-02,Quick Check,5666.614
2024-02,QuickSilver Card,1113920.7593
2024-02,Savor Card,45351.7188
2024-02,Smart Rewards Card,704.3475
2024-02,Venture Card,25522.4518
2024-02,Venture X Card,2543103.249
2024-03,Business Spark Card,631340.6286
2024-03,Business Venture X Card,5101857.7354
2024-03,Capital One 360,4986218.6312
2024-03,Capital One 360 CD,731241.2542
2024-03,Capital One 360 Cafe Banks,348932.6405
2024-03,Capital One 360 Checking,1190452.579
2024-03,Capital One Auto Navigator,406965.1182
2024-03,Capital One Business Cards,1877.3413
2024-03,Capital One Business Finance,186906.3594
2024-03,Capital One Cardholder Benefits,131817.5329
2024-03,Capital One Careers,80054.0042
2024-03,Capital One Commercial Banking,43092.3004
2024-03,Capital One Consumer Cards,3411034.6668
2024-03,Capital One Credit Cards,5185.0039
2024-03,Capital One Financial Corporation (General),4510180.3781
2024-03,Capital One Mobile App,510.187
2024-03,Capital One Shopping,2494538.6655
2024-03,Capital One Shopping (formerly Wikibuy),663.154
2024-03,Capital One Small Business Savings,386.1746
2024-03,Capital One Teen Checking,21764.1476
2024-03,Capital One Walmart Rewards Card,261785.1922
2024-03,Capitol One 360 Performance Savings,1656470.4219
2024-03,Guaranteed (Secured Mastercard),4065.2928
2024-03,Platinum Card,511.1844
2024-03,Quick Check,36962.4863
2024-03,QuickSilver Card,1601038.9455
2024-03,Savor Card,605.6821
2024-03,Smart Rewards Card,503.079
2024-03,Venture Card,922677.1415
2024-03,Venture X Card,3061984.6669
2024-04,Business Spark Card,402004.8966
2024-04,Business Venture X Card,3657309.1047
2024-04,Capital One 360,4529116.2001
2024-04,Capital One 360 CD,1247247.9984
2024-04,Capital One 360 Cafe Banks,344002.0707
2024-04,Capital One 360 Checking,1309900.4182
