Date,Device,Spend_USD
2024-01,Desktop Display,6419581.9723
2024-01,Desktop Video,638832.89
2024-01,Facebook,2208659.7927
2024-01,Instagram,4171995.2383
2024-01,Mobile Display,174776.3301
2024-01,OTT,10292006.1499
2024-01,Snapchat,28018.136899999998
2024-01,TikTok,2573317.6909
2024-01,X (formerly Twitter),83.95
2024-01,YouTube,2651806.0337
2024-02,Desktop Display,5686640.5132
2024-02,Desktop Video,388016.4424
2024-02,Facebook,2355067.2591
2024-02,Instagram,3352650.7826
2024-02,Mobile Display,135783.4362
2024-02,OTT,7711344.8247
2024-02,Snapchat,65366.6231
2024-02,TikTok,2538143.7014
2024-02,X (formerly Twitter),20.1425
2024-02,YouTube,2650781.3764
2024-03,Desktop Display,7102564.2746
2024-03,Desktop Video,377986.8767
2024-03,Facebook,2409012.9819
2024-03,Instagram,5390077.3833
2024-03,Mobile Display,262930.9427
2024-03,OTT,9802152.9643
2024-03,Snapchat,68767.7368
2024-03,TikTok,3000211.3922
2024-03,YouTube,3417918.0429
2024-04,Desktop Display,5896899.2917
2024-04,Desktop Video,1094742.9839
2024-04,Facebook,3013556.0971
2024-04,Instagram,6150539.5618
2024-04,Mobile Display,163853.5856
2024-04,OTT,10104298.4662
2024-04,Snapchat,41137.0467
2024-04,TikTok,2528842.2815
2024-04,YouTube,2113574.393
2024-05,Desktop Display,4684154.9555
2024-05,Desktop Video,770790.86
2024-05,Facebook,2116571.0486
2024-05,Instagram,4108376.1794
2024-05,Mobile Display,175315.1046
2024-05,OTT,11119938.5041
2024-05,Snapchat,62911.4439
2024-05,TikTok,1674866.9608
2024-05,X (formerly Twitter),18.364
2024-05,YouTube,2529621.7126
2024-06,Desktop Display,4040745.9823
2024-06,Desktop Video,809615.7317
2024-06,Facebook,2222934.6149
2024-06,Instagram,4543440.9671
2024-06,Mobile Display,66792.5206
2024-06,OTT,12713066.1437
2024-06,Snapchat,54584.8202
2024-06,TikTok,2019655.4184
2024-06,YouTube,2935012.2246
2024-07,Desktop Display,4769739.4542
2024-07,Desktop Video,1050042.3619
2024-07,Facebook,3116425.5068
2024-07,Instagram,5479190.4248
2024-07,Mobile Display,105350.2023
2024-07,OTT,9640364.7858
2024-07,Snapchat,89930.2478
2024-07,TikTok,2542663.2237
2024-07,YouTube,3114942.4912
2024-08,Desktop Display,4418366.7766
2024-08,Desktop Video,860736.4574
2024-08,Facebook,3487569.1472
2024-08,Instagram,6010138.174
2024-08,Mobile Display,287493.3857
2024-08,OTT,8609036.0147
2024-08,Snapchat,160199.9801
2024-08,TikTok,3904487.113
2024-08,YouTube,2839564.8675
2024-09,Desktop Display,3459150.1239
2024-09,Desktop Video,949281.5382000001
2024-09,Facebook,3060274.3594
2024-09,Instagram,5605595.3795
2024-09,Mobile Display,223266.6311
2024-09,OTT,9256875.0524
2024-09,Snapchat,83001.2781
2024-09,TikTok,2928255.5656
2024-09,YouTube,2336719.8697
2024-10,Desktop Display,4893534.072
2024-10,Desktop Video,2110135.8176
2024-10,Facebook,2558959.5332
2024-10,Instagram,8392740.0949
2024-10,Mobile Display,1018286.2875
2024-10,OTT,9389949.6251
2024-10,Snapchat,135216.5082
2024-10,TikTok,3091875.9002
2024-10,YouTube,2897559.5099
2024-11,Desktop Display,8434143.8741
2024-11,Desktop Video,1843563.3845
2024-11,Facebook,3012927.2404
2024-11,Instagram,8781537.7673
2024-11,Mobile Display,617284.8296
2024-11,OTT,11414045.296
2024-11,Snapchat,173236.4152
2024-11,TikTok,2594247.2248
2024-11,YouTube,2010154.8295
2024-12,Desktop Display,7250032.4838
2024-12,Desktop Video,936382.3643
2024-12,Facebook,3733459.4552
2024-12,Instagram,13738158.0699
2024-12,Mobile Display,538419.5487
2024-12,OTT,12565315.0246
2024-12,Snapchat,126430.9184
2024-12,TikTok,1581087.5623
2024-12,X (formerly Twitter),27.2664
2024-12,YouTube,2882800.4863
